FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  161  :  250  :  172  ],Rx,PASSED,137
4,[  255  :  240  :  254  :  148  ],Rx,PASSED,145
5,[  0  :  12  :  61  :  4  ],Rx,PASSED,175
7,[  255  :  255  :  255  :  240  ],Rx,PASSED,192
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,208
9,[  0  :  0  :  3  :  236  ],Rx,PASSED,226
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,244
11,[  0  :  0  :  0  :  155  ],Rx,PASSED,259
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,274
3,[  255  :  160  :  251  :  32  ],Rx,PASSED,287
4,[  255  :  237  :  254  :  180  ],Rx,PASSED,296
5,[  0  :  14  :  60  :  136  ],Rx,PASSED,305
7,[  255  :  255  :  255  :  247  ],Rx,PASSED,319
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,335
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,347
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,360
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,375
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,389
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,401
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,412
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,426
3,[  255  :  160  :  251  :  32  ],Rx,PASSED,437
4,[  255  :  237  :  254  :  180  ],Rx,PASSED,449
5,[  0  :  14  :  60  :  136  ],Rx,PASSED,456
7,[  255  :  255  :  255  :  247  ],Rx,PASSED,469
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,479
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,495
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,510
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,523
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,537
13,[  127  :  159  :  227  :  251  ],Rx,PASSED,552
14,[  64  :  15  :  252  :  2  ],Rx,PASSED,569
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,582
3,[  255  :  158  :  251  :  0  ],Rx,PASSED,598
4,[  255  :  235  :  254  :  88  ],Rx,PASSED,612
5,[  0  :  11  :  61  :  4  ],Rx,PASSED,621
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,634
8,[  255  :  255  :  255  :  231  ],Rx,PASSED,648
9,[  0  :  0  :  3  :  236  ],Rx,PASSED,662
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,676
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,689
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,703
3,[  255  :  160  :  251  :  8  ],Rx,PASSED,716
4,[  255  :  234  :  254  :  144  ],Rx,PASSED,731
5,[  0  :  14  :  60  :  144  ],Rx,PASSED,746
7,[  255  :  255  :  255  :  246  ],Rx,PASSED,752
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,769
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,783
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,800
11,[  255  :  255  :  255  :  45  ],Rx,PASSED,812
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,819
3,[  255  :  161  :  250  :  232  ],Rx,PASSED,834
4,[  255  :  231  :  254  :  204  ],Rx,PASSED,848
5,[  0  :  11  :  59  :  208  ],Rx,PASSED,863
7,[  255  :  255  :  255  :  244  ],Rx,PASSED,878
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,892
9,[  0  :  0  :  3  :  217  ],Rx,PASSED,907
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,922
11,[  255  :  255  :  254  :  118  ],Rx,PASSED,936
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,950
3,[  255  :  161  :  250  :  232  ],Rx,PASSED,964
4,[  255  :  231  :  254  :  204  ],Rx,PASSED,978
