FID,Data Bytes,Direction,Checksum,Time (ms)
5,[  0  :  11  :  59  :  208  ],Rx,PASSED,994
7,[  255  :  255  :  255  :  244  ],Rx,PASSED,1009
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,1023
9,[  0  :  0  :  3  :  217  ],Rx,PASSED,1033
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,1049
11,[  255  :  255  :  254  :  118  ],Rx,PASSED,1062
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1072
3,[  255  :  156  :  250  :  92  ],Rx,PASSED,1084
4,[  255  :  238  :  254  :  48  ],Rx,PASSED,1100
5,[  0  :  11  :  61  :  84  ],Rx,PASSED,1115
7,[  255  :  255  :  255  :  235  ],Rx,PASSED,1129
8,[  255  :  255  :  255  :  228  ],Rx,PASSED,1143
9,[  0  :  0  :  3  :  241  ],Rx,PASSED,1156
10,[  255  :  255  :  255  :  41  ],Rx,PASSED,1168
11,[  0  :  0  :  0  :  33  ],Rx,PASSED,1181
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1196
13,[  127  :  143  :  227  :  248  ],Rx,PASSED,1204
14,[  64  :  15  :  252  :  6  ],Rx,PASSED,1214
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,1231
3,[  255  :  162  :  250  :  176  ],Rx,PASSED,1245
4,[  255  :  242  :  254  :  192  ],Rx,PASSED,1259
5,[  0  :  13  :  60  :  88  ],Rx,PASSED,1267
7,[  255  :  255  :  255  :  240  ],Rx,PASSED,1283
8,[  255  :  255  :  255  :  237  ],Rx,PASSED,1300
9,[  0  :  0  :  3  :  225  ],Rx,PASSED,1314
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,1331
11,[  0  :  0  :  1  :  21  ],Rx,PASSED,1346
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,1361
3,[  255  :  161  :  251  :  8  ],Rx,PASSED,1374
4,[  255  :  247  :  254  :  116  ],Rx,PASSED,1391
5,[  0  :  13  :  60  :  228  ],Rx,PASSED,1404
7,[  255  :  255  :  255  :  246  ],Rx,PASSED,1414
8,[  255  :  255  :  255  :  232  ],Rx,PASSED,1427
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,1441
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,1456
11,[  0  :  0  :  2  :  70  ],Rx,PASSED,1470
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,1479
3,[  255  :  161  :  251  :  8  ],Rx,PASSED,1494
4,[  255  :  247  :  254  :  116  ],Rx,PASSED,1507
5,[  0  :  13  :  60  :  228  ],Rx,PASSED,1520
7,[  255  :  255  :  255  :  246  ],Rx,PASSED,1534
8,[  255  :  255  :  255  :  232  ],Rx,PASSED,1548
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,1564
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,1571
11,[  0  :  0  :  2  :  70  ],Rx,PASSED,1585
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,1595
3,[  255  :  162  :  251  :  44  ],Rx,PASSED,1609
4,[  255  :  235  :  254  :  76  ],Rx,PASSED,1625
5,[  0  :  11  :  61  :  24  ],Rx,PASSED,1635
7,[  255  :  255  :  255  :  248  ],Rx,PASSED,1646
8,[  255  :  255  :  255  :  230  ],Rx,PASSED,1662
9,[  0  :  0  :  3  :  237  ],Rx,PASSED,1676
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,1691
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,1701
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1713
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,1728
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,1742
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,1751
3,[  255  :  157  :  250  :  212  ],Rx,PASSED,1764
4,[  255  :  231  :  254  :  96  ],Rx,PASSED,1770
5,[  0  :  11  :  60  :  48  ],Rx,PASSED,1781
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,1792
8,[  255  :  255  :  255  :  231  ],Rx,PASSED,1802
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,1817
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,1832
11,[  255  :  255  :  254  :  118  ],Rx,PASSED,1844
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1858
6,[  0  :  0  :  0  :  0  ],Rx,PASSED,1867
13,[  127  :  143  :  227  :  249  ],Rx,PASSED,1880
14,[  64  :  15  :  252  :  3  ],Rx,PASSED,1891
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,1906
3,[  255  :  159  :  250  :  184  ],Rx,PASSED,1920
4,[  255  :  228  :  254  :  184  ],Rx,PASSED,1929
5,[  0  :  14  :  60  :  180  ],Rx,PASSED,1941
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,1950
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,1964
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,1974
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,1991
11,[  255  :  255  :  253  :  190  ],Rx,PASSED,2002
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,2017
3,[  255  :  159  :  250  :  184  ],Rx,PASSED,2030
4,[  255  :  228  :  254  :  184  ],Rx,PASSED,2044
5,[  0  :  14  :  60  :  180  ],Rx,PASSED,2057
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,2066
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,2080
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,2090
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,2103
11,[  255  :  255  :  253  :  190  ],Rx,PASSED,2116
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,2127
3,[  255  :  160  :  250  :  36  ],Rx,PASSED,2140
4,[  255  :  232  :  254  :  136  ],Rx,PASSED,2150
5,[  0  :  14  :  60  :  128  ],Rx,PASSED,2164
7,[  255  :  255  :  255  :  232  ],Rx,PASSED,2173
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,2187
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,2198
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2212
11,[  255  :  255  :  254  :  179  ],Rx,PASSED,2222
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,2236
3,[  255  :  158  :  250  :  92  ],Rx,PASSED,2250
4,[  255  :  237  :  254  :  92  ],Rx,PASSED,2259
5,[  0  :  8  :  60  :  184  ],Rx,PASSED,2273
7,[  255  :  255  :  255  :  235  ],Rx,PASSED,2282
8,[  255  :  255  :  255  :  231  ],Rx,PASSED,2298
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,2310
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,2323
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,2333
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,2348
3,[  255  :  161  :  250  :  212  ],Rx,PASSED,2364
4,[  255  :  245  :  254  :  144  ],Rx,PASSED,2379
5,[  0  :  10  :  61  :  108  ],Rx,PASSED,2393
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,2400
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,2416
9,[  0  :  0  :  3  :  242  ],Rx,PASSED,2428
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,2442
11,[  0  :  0  :  1  :  204  ],Rx,PASSED,2453
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,2466
13,[  127  :  159  :  227  :  250  ],Rx,PASSED,2478
14,[  64  :  15  :  252  :  3  ],Rx,PASSED,2491
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,2503
3,[  255  :  160  :  250  :  244  ],Rx,PASSED,2515
4,[  255  :  241  :  254  :  124  ],Rx,PASSED,2526
5,[  0  :  10  :  60  :  216  ],Rx,PASSED,2533
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,2548
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,2556
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,2566
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2582
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,2591
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,2600
3,[  255  :  160  :  250  :  244  ],Rx,PASSED,2613
4,[  255  :  241  :  254  :  124  ],Rx,PASSED,2627
5,[  0  :  10  :  60  :  216  ],Rx,PASSED,2639
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,2650
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,2664
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,2677
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2687
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,2698
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,2711
3,[  255  :  162  :  251  :  8  ],Rx,PASSED,2722
4,[  255  :  242  :  254  :  216  ],Rx,PASSED,2734
5,[  0  :  12  :  61  :  160  ],Rx,PASSED,2745
7,[  255  :  255  :  255  :  246  ],Rx,PASSED,2759
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,2768
9,[  0  :  0  :  3  :  245  ],Rx,PASSED,2781
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,2795
11,[  0  :  0  :  1  :  21  ],Rx,PASSED,2806
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,2818
3,[  255  :  159  :  251  :  84  ],Rx,PASSED,2829
4,[  255  :  235  :  254  :  120  ],Rx,PASSED,2840
5,[  0  :  11  :  61  :  28  ],Rx,PASSED,2854
7,[  255  :  255  :  255  :  250  ],Rx,PASSED,2865
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,2880
9,[  0  :  0  :  3  :  237  ],Rx,PASSED,2890
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,2903
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,2917
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,2926
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,2941
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,2948
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,2963
