FID,Data Bytes,Direction,Checksum,Time (ms)
7,[  0  :  0  :  0  :  6  ],Rx,PASSED,193089
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,193089
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,193089
10,[  255  :  255  :  255  :  61  ],Rx,PASSED,193092
11,[  255  :  255  :  253  :  185  ],Rx,PASSED,193092
12,[  255  :  255  :  255  :  234  ],Rx,PASSED,193092
3,[  255  :  61  :  250  :  96  ],Rx,PASSED,193092
4,[  255  :  196  :  0  :  64  ],Rx,PASSED,193099
5,[  0  :  22  :  59  :  72  ],Rx,PASSED,193099
7,[  0  :  0  :  0  :  6  ],Rx,PASSED,193099
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,193099
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,193099
10,[  255  :  255  :  255  :  61  ],Rx,PASSED,193103
11,[  255  :  255  :  253  :  185  ],Rx,PASSED,193103
12,[  255  :  255  :  255  :  234  ],Rx,PASSED,193103
3,[  255  :  62  :  250  :  132  ],Rx,PASSED,193103
4,[  255  :  198  :  0  :  72  ],Rx,PASSED,193109
5,[  0  :  18  :  59  :  40  ],Rx,PASSED,193109
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193109
8,[  255  :  255  :  255  :  255  ],Rx,PASSED,193109
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,193109
10,[  255  :  255  :  255  :  92  ],Rx,PASSED,193111
11,[  255  :  255  :  253  :  246  ],Rx,PASSED,193111
12,[  255  :  255  :  255  :  112  ],Rx,PASSED,193111
13,[  0  :  0  :  0  :  0  ],Rx,PASSED,193111
14,[  0  :  0  :  0  :  0  ],Rx,PASSED,193111
15,[  0  :  0  :  0  :  0  ],Rx,PASSED,193113
3,[  255  :  64  :  250  :  120  ],Rx,PASSED,193113
4,[  255  :  208  :  0  :  108  ],Rx,PASSED,193118
5,[  0  :  23  :  59  :  104  ],Rx,PASSED,193118
7,[  0  :  0  :  0  :  7  ],Rx,PASSED,193118
8,[  0  :  0  :  0  :  1  ],Rx,PASSED,193118
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,193118
10,[  255  :  255  :  255  :  153  ],Rx,PASSED,193121
11,[  255  :  255  :  255  :  40  ],Rx,PASSED,193121
12,[  0  :  0  :  0  :  8  ],Rx,PASSED,193121
3,[  255  :  65  :  250  :  128  ],Rx,PASSED,193121
4,[  255  :  215  :  0  :  208  ],Rx,PASSED,193129
5,[  0  :  23  :  59  :  48  ],Rx,PASSED,193129
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193129
8,[  0  :  0  :  0  :  7  ],Rx,PASSED,193129
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,193129
10,[  255  :  255  :  255  :  183  ],Rx,PASSED,193130
11,[  255  :  255  :  255  :  253  ],Rx,PASSED,193130
12,[  0  :  0  :  0  :  8  ],Rx,PASSED,193131
3,[  255  :  65  :  250  :  128  ],Rx,PASSED,193131
4,[  255  :  215  :  0  :  208  ],Rx,PASSED,193137
5,[  0  :  23  :  59  :  48  ],Rx,PASSED,193137
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193137
8,[  0  :  0  :  0  :  7  ],Rx,PASSED,193137
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,193137
10,[  255  :  255  :  255  :  183  ],Rx,PASSED,193141
11,[  255  :  255  :  255  :  253  ],Rx,PASSED,193141
12,[  0  :  0  :  0  :  8  ],Rx,PASSED,193141
3,[  255  :  66  :  250  :  52  ],Rx,PASSED,193141
4,[  255  :  218  :  0  :  176  ],Rx,PASSED,193146
5,[  0  :  29  :  59  :  220  ],Rx,PASSED,193146
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,193146
8,[  0  :  0  :  0  :  5  ],Rx,PASSED,193146
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,193146
10,[  255  :  255  :  255  :  214  ],Rx,PASSED,193150
11,[  0  :  0  :  0  :  89  ],Rx,PASSED,193150
12,[  0  :  0  :  0  :  192  ],Rx,PASSED,193150
1,[  0  :  0  :  0  :  0  ],Rx,PASSED,193150
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,193155
3,[  255  :  72  :  250  :  48  ],Rx,PASSED,193156
4,[  255  :  218  :  0  :  132  ],Rx,PASSED,193156
5,[  0  :  23  :  59  :  124  ],Rx,PASSED,193156
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,193156
8,[  0  :  0  :  0  :  3  ],Rx,PASSED,193158
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,193158
10,[  0  :  0  :  0  :  141  ],Rx,PASSED,193158
11,[  0  :  0  :  0  :  89  ],Rx,PASSED,193158
12,[  0  :  0  :  0  :  8  ],Rx,PASSED,193158
13,[  0  :  0  :  0  :  0  ],Rx,PASSED,193161
14,[  0  :  0  :  0  :  0  ],Rx,PASSED,193161
15,[  0  :  0  :  0  :  0  ],Rx,PASSED,193161
3,[  255  :  70  :  250  :  92  ],Rx,PASSED,193161
4,[  255  :  219  :  0  :  188  ],Rx,PASSED,193166
5,[  0  :  26  :  59  :  48  ],Rx,PASSED,193166
7,[  0  :  0  :  0  :  5  ],Rx,PASSED,193166
8,[  0  :  0  :  0  :  6  ],Rx,PASSED,193166
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,193166
10,[  0  :  0  :  0  :  80  ],Rx,PASSED,193168
11,[  0  :  0  :  0  :  119  ],Rx,PASSED,193168
12,[  0  :  0  :  0  :  100  ],Rx,PASSED,193168
3,[  255  :  76  :  250  :  128  ],Rx,PASSED,193168
4,[  255  :  214  :  0  :  180  ],Rx,PASSED,193177
5,[  0  :  20  :  59  :  24  ],Rx,PASSED,193177
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193177
8,[  0  :  0  :  0  :  5  ],Rx,PASSED,193177
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,193177
10,[  0  :  0  :  1  :  7  ],Rx,PASSED,193178
11,[  255  :  255  :  255  :  223  ],Rx,PASSED,193178
12,[  255  :  255  :  255  :  173  ],Rx,PASSED,193178
3,[  255  :  76  :  250  :  128  ],Rx,PASSED,193178
4,[  255  :  214  :  0  :  180  ],Rx,PASSED,193184
5,[  0  :  20  :  59  :  24  ],Rx,PASSED,193184
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193184
8,[  0  :  0  :  0  :  5  ],Rx,PASSED,193184
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,193184
10,[  0  :  0  :  1  :  7  ],Rx,PASSED,193187
11,[  255  :  255  :  255  :  223  ],Rx,PASSED,193187
12,[  255  :  255  :  255  :  173  ],Rx,PASSED,193187
3,[  255  :  69  :  250  :  160  ],Rx,PASSED,193187
4,[  255  :  210  :  0  :  52  ],Rx,PASSED,193193
5,[  0  :  28  :  59  :  164  ],Rx,PASSED,193193
7,[  0  :  0  :  0  :  10  ],Rx,PASSED,193193
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,193193
9,[  0  :  0  :  3  :  235  ],Rx,PASSED,193194
10,[  0  :  0  :  0  :  50  ],Rx,PASSED,193196
11,[  255  :  255  :  255  :  101  ],Rx,PASSED,193196
12,[  0  :  0  :  0  :  161  ],Rx,PASSED,193197
3,[  255  :  57  :  250  :  140  ],Rx,PASSED,193197
4,[  255  :  201  :  255  :  224  ],Rx,PASSED,193203
5,[  0  :  20  :  59  :  92  ],Rx,PASSED,193203
7,[  0  :  0  :  0  :  8  ],Rx,PASSED,193203
8,[  255  :  255  :  255  :  250  ],Rx,PASSED,193203
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,193203
