FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  159  :  250  :  236  ],Rx,PASSED,165
4,[  255  :  233  :  254  :  144  ],Rx,PASSED,188
5,[  0  :  10  :  60  :  16  ],Rx,PASSED,199
7,[  255  :  255  :  255  :  244  ],Rx,PASSED,211
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,222
9,[  0  :  0  :  3  :  221  ],Rx,PASSED,236
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,249
11,[  255  :  255  :  254  :  240  ],Rx,PASSED,260
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,268
3,[  255  :  160  :  250  :  212  ],Rx,PASSED,278
4,[  255  :  238  :  254  :  176  ],Rx,PASSED,288
5,[  0  :  8  :  60  :  184  ],Rx,PASSED,301
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,315
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,330
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,344
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,357
11,[  0  :  0  :  0  :  33  ],Rx,PASSED,370
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,385
3,[  255  :  161  :  250  :  88  ],Rx,PASSED,398
4,[  255  :  236  :  254  :  252  ],Rx,PASSED,410
5,[  0  :  13  :  60  :  44  ],Rx,PASSED,422
7,[  255  :  255  :  255  :  235  ],Rx,PASSED,435
8,[  255  :  255  :  255  :  241  ],Rx,PASSED,447
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,461
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,472
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,484
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,497
13,[  127  :  159  :  227  :  252  ],Rx,PASSED,508
14,[  64  :  15  :  252  :  6  ],Rx,PASSED,521
15,[  127  :  175  :  232  :  0  ],Rx,PASSED,533
3,[  255  :  161  :  250  :  88  ],Rx,PASSED,546
4,[  255  :  236  :  254  :  252  ],Rx,PASSED,557
5,[  0  :  13  :  60  :  44  ],Rx,PASSED,570
7,[  255  :  255  :  255  :  235  ],Rx,PASSED,584
8,[  255  :  255  :  255  :  241  ],Rx,PASSED,596
9,[  0  :  0  :  3  :  223  ],Rx,PASSED,607
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,620
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,628
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,639
3,[  255  :  161  :  251  :  56  ],Rx,PASSED,646
4,[  255  :  238  :  254  :  104  ],Rx,PASSED,658
5,[  0  :  11  :  60  :  128  ],Rx,PASSED,671
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,685
8,[  255  :  255  :  255  :  232  ],Rx,PASSED,697
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,709
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,721
11,[  0  :  0  :  0  :  33  ],Rx,PASSED,735
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,747
3,[  255  :  160  :  250  :  196  ],Rx,PASSED,755
4,[  255  :  236  :  254  :  68  ],Rx,PASSED,765
5,[  0  :  11  :  60  :  252  ],Rx,PASSED,777
7,[  255  :  255  :  255  :  242  ],Rx,PASSED,788
8,[  255  :  255  :  255  :  229  ],Rx,PASSED,803
9,[  0  :  0  :  3  :  235  ],Rx,PASSED,815
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,828
