FID,Data Bytes,Direction,Checksum,Time (ms)
5,[  0  :  10  :  60  :  176  ],Rx,PASSED,1567
7,[  255  :  255  :  255  :  248  ],Rx,PASSED,1577
8,[  255  :  255  :  255  :  240  ],Rx,PASSED,1591
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,1603
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,1617
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,1630
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,1645
3,[  255  :  160  :  251  :  36  ],Rx,PASSED,1657
4,[  255  :  237  :  254  :  240  ],Rx,PASSED,1663
5,[  0  :  10  :  60  :  176  ],Rx,PASSED,1678
7,[  255  :  255  :  255  :  248  ],Rx,PASSED,1694
8,[  255  :  255  :  255  :  240  ],Rx,PASSED,1708
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,1721
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,1735
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,1746
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,1758
3,[  255  :  160  :  251  :  40  ],Rx,PASSED,1770
4,[  255  :  235  :  254  :  152  ],Rx,PASSED,1784
5,[  0  :  11  :  60  :  208  ],Rx,PASSED,1791
7,[  255  :  255  :  255  :  248  ],Rx,PASSED,1805
8,[  255  :  255  :  255  :  235  ],Rx,PASSED,1819
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,1827
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,1842
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,1851
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1867
3,[  255  :  158  :  250  :  228  ],Rx,PASSED,1882
4,[  255  :  234  :  254  :  176  ],Rx,PASSED,1893
5,[  0  :  11  :  60  :  180  ],Rx,PASSED,1905
7,[  255  :  255  :  255  :  244  ],Rx,PASSED,1919
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,1930
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,1945
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,1960
11,[  255  :  255  :  255  :  45  ],Rx,PASSED,1972
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,1984
3,[  255  :  157  :  249  :  200  ],Rx,PASSED,1994
4,[  255  :  235  :  254  :  172  ],Rx,PASSED,2006
5,[  0  :  12  :  60  :  164  ],Rx,PASSED,2016
7,[  255  :  255  :  255  :  226  ],Rx,PASSED,2033
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,2047
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,2055
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,2072
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,2086
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,2098
13,[  127  :  175  :  235  :  251  ],Rx,PASSED,2113
14,[  64  :  15  :  244  :  8  ],Rx,PASSED,2123
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,2137
3,[  255  :  160  :  249  :  240  ],Rx,PASSED,2150
4,[  255  :  237  :  254  :  144  ],Rx,PASSED,2165
5,[  0  :  12  :  60  :  172  ],Rx,PASSED,2177
7,[  255  :  255  :  255  :  229  ],Rx,PASSED,2192
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,2209
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,2229
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2242
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,2259
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,2275
3,[  255  :  160  :  249  :  240  ],Rx,PASSED,2290
4,[  255  :  237  :  254  :  144  ],Rx,PASSED,2312
5,[  0  :  12  :  60  :  172  ],Rx,PASSED,2319
7,[  255  :  255  :  255  :  229  ],Rx,PASSED,2329
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,2340
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,2366
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2383
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,2399
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,2415
3,[  255  :  161  :  250  :  72  ],Rx,PASSED,2427
4,[  255  :  246  :  254  :  192  ],Rx,PASSED,2444
5,[  0  :  12  :  61  :  60  ],Rx,PASSED,2455
7,[  255  :  255  :  255  :  234  ],Rx,PASSED,2474
8,[  255  :  255  :  255  :  237  ],Rx,PASSED,2492
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,2517
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,2536
11,[  0  :  0  :  2  :  9  ],Rx,PASSED,2551
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,2560
3,[  255  :  160  :  250  :  200  ],Rx,PASSED,2576
4,[  255  :  245  :  254  :  196  ],Rx,PASSED,2593
5,[  0  :  11  :  61  :  100  ],Rx,PASSED,2601
7,[  255  :  255  :  255  :  242  ],Rx,PASSED,2614
8,[  255  :  255  :  255  :  237  ],Rx,PASSED,2630
9,[  0  :  0  :  3  :  242  ],Rx,PASSED,2643
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,2658
11,[  0  :  0  :  1  :  204  ],Rx,PASSED,2667
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,2682
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,2695
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,2709
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,2723
3,[  255  :  159  :  251  :  60  ],Rx,PASSED,2734
4,[  255  :  239  :  254  :  184  ],Rx,PASSED,2748
5,[  0  :  13  :  61  :  28  ],Rx,PASSED,2761
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,2769
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,2785
9,[  0  :  0  :  3  :  237  ],Rx,PASSED,2794
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,2808
11,[  0  :  0  :  0  :  94  ],Rx,PASSED,2820
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,2834
6,[  0  :  0  :  0  :  0  ],Rx,PASSED,2844
13,[  127  :  175  :  235  :  251  ],Rx,PASSED,2859
14,[  127  :  255  :  244  :  2  ],Rx,PASSED,2874
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,2884
3,[  255  :  159  :  251  :  60  ],Rx,PASSED,2896
4,[  255  :  239  :  254  :  184  ],Rx,PASSED,2909
5,[  0  :  13  :  61  :  28  ],Rx,PASSED,2930
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,2947
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,2959
9,[  0  :  0  :  3  :  237  ],Rx,PASSED,2972
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,2990
11,[  0  :  0  :  0  :  94  ],Rx,PASSED,3008
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,3020
3,[  255  :  158  :  250  :  224  ],Rx,PASSED,3028
4,[  255  :  234  :  254  :  220  ],Rx,PASSED,3046
5,[  0  :  10  :  60  :  176  ],Rx,PASSED,3060
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,3070
8,[  255  :  255  :  255  :  239  ],Rx,PASSED,3083
9,[  0  :  0  :  3  :  231  ],Rx,PASSED,3100
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,3117
11,[  255  :  255  :  255  :  45  ],Rx,PASSED,3126
